,Movie ID,Actor 1,Actor 2,Actor 3,Director
80,16664,Hayato Ichihara,Shugo Oshinari,Yu Aoi,Shunji Iwai
81,1933,Nicole Kidman,Christopher Eccleston,Alakina Mann,Alejandro Amenábar
82,853,Jude Law,Joseph Fiennes,Rachel Weisz,Jean-Jacques Annaud
83,11397,Chyler Leigh,Chris Evans,Jaime Pressly,Joel Gallen
84,9378,Tony Shalhoub,Embeth Davidtz,Matthew Lillard,Steve Beck
85,42360,Houko Kuwashima,Kumiko Watanabe,Noriko Hidaka,Toshiya Shinohara
86,2034,Denzel Washington,Ethan Hawke,Scott Glenn,Antoine Fuqua
87,1018,Naomi Watts,Laura Harring,Justin Theroux,David Lynch
88,10865,Michael J. Fox,Cree Summer,James Garner,Gary Trousdale
89,141,Jake Gyllenhaal,Jena Malone,James Duval,Richard Kelly
90,2057,Angelina Jolie,Antonio Banderas,Thomas Jane,Michael Cristofer
91,8835,Reese Witherspoon,Luke Wilson,Matthew Davis,Robert Luketic
92,12600,Rica Matsumoto,Ikue Otani,Unsho Ishizuka,Kunihiko Yuyama
93,634,Renée Zellweger,Colin Firth,Hugh Grant,Sharon Maguire
94,9889,Gwyneth Paltrow,Jack Black,Jason Alexander,Bobby Farrelly
95,9476,Heath Ledger,Rufus Sewell,Shannyn Sossamon,Brian Helgeland
96,18269,Scott Wolf,Alyssa Milano,Chazz Palminteri,Darrell Rooney
97,1391,Gael García Bernal,Diego Luna,Maribel Verdú,Alfonso Cuarón
98,194,Audrey Tautou,Mathieu Kassovitz,Rufus,Jean-Pierre Jeunet
99,23446,Mayumi Tanaka,Kazuya Nakai,Akemi Okamura,Junji Shimizu
100,9705,John Travolta,Hugh Jackman,Don Cheadle,Dominic Sena
101,1995,Angelina Jolie,Iain Glen,Daniel Craig,Simon West
102,167,Jeff Bridges,Kevin Spacey,Mary McCormack,Iain Softley
103,9428,Gene Hackman,Anjelica Huston,Ben Stiller,Wes Anderson
104,11299,Koichi Yamadera,Unsho Ishizuka,Aoi Tada,Shinichiro Watanabe
105,9397,David Duchovny,Julianne Moore,Orlando Jones,Ivan Reitman
106,1364,Paz Vega,Tristán Ulloa,Elena Anaya,Julio Medem
107,6312,Samuel Le Bihan,Vincent Cassel,Émilie Dequenne,Christophe Gans
108,644,Haley Joel Osment,Jude Law,Frances O'Connor,Steven Spielberg
109,32022,Minami Takayama,Wakana Yamazaki,Akira Kamiya,Kenji Kodama
110,11470,Kane Hodder,Lexa Doig,Chuck Campbell,James Isaac
111,9398,Ben Stiller,Owen Wilson,Christine Taylor,Ben Stiller
112,10808,Eddie Murphy,Kristen Wilson,Kyla Pratt,Steve Carr
113,10992,Jeff Goldblum,Elizabeth Perkins,Alexander Pollock,Lawrence Guterman
114,1903,Tom Cruise,Penélope Cruz,Cameron Diaz,Cameron Crowe
