,Movie ID,Budget,Revenue,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Release Date,Run Time
74,676,140000000,449220945,Action,War,History,Romance,Drama,2001-05-21,183
75,161,85000000,450717150,Thriller,Crime,N/A,N/A,N/A,2001-12-07,116
76,453,58000000,316800000,Drama,Romance,N/A,N/A,N/A,2001-12-11,135
77,855,92000000,172989651,Action,History,War,N/A,N/A,2001-12-28,145
78,10054,35000000,147934180,Action,Comedy,Family,Adventure,N/A,2001-03-18,88
79,9880,37000000,165335153,Comedy,Family,Romance,N/A,N/A,2001-08-03,115
80,16664,1,0,Drama,Crime,N/A,N/A,N/A,2001-10-06,146
81,1933,17000000,209947037,Horror,Mystery,Thriller,N/A,N/A,2001-08-02,101
82,853,68000000,96976270,Drama,War,History,N/A,N/A,2001-03-14,131
83,11397,16000000,66468332,Comedy,N/A,N/A,N/A,N/A,2001-12-07,89
84,9378,42000000,68467960,Horror,Thriller,N/A,N/A,N/A,2001-10-26,91
85,42360,10540,0,Action,Animation,Adventure,Fantasy,N/A,2001-12-15,99
86,2034,45000000,104876233,Action,Crime,Drama,N/A,N/A,2001-10-05,122
87,1018,15000000,20271129,Thriller,Drama,Mystery,N/A,N/A,2001-06-06,147
88,10865,120000000,186053725,Animation,Family,Adventure,Science Fiction,N/A,2001-06-02,95
89,141,6000000,7500000,Fantasy,Drama,Mystery,N/A,N/A,2001-10-24,114
90,2057,42000000,35402320,Thriller,Drama,Mystery,Romance,N/A,2001-05-08,118
91,8835,18000000,141774679,Comedy,Romance,N/A,N/A,N/A,2001-07-13,96
92,12600,0,28023563,Adventure,Fantasy,Animation,Science Fiction,Family,2001-07-06,80
93,634,25000000,281929795,Comedy,Romance,Drama,N/A,N/A,2001-04-13,97
94,9889,40000000,141069860,Comedy,Romance,N/A,N/A,N/A,2001-11-01,114
95,9476,65000000,117487473,Adventure,Drama,Romance,Action,N/A,2001-05-11,132
96,18269,0,0,Family,Animation,Romance,Adventure,N/A,2001-02-18,69
97,1391,5000000,33616692,Drama,Romance,N/A,N/A,N/A,2001-06-08,106
98,194,10000000,173921954,Comedy,Romance,N/A,N/A,N/A,2001-04-25,122
99,23446,0,0,Action,Animation,Adventure,N/A,N/A,2001-03-03,60
100,9705,102000000,147080413,Action,Crime,Thriller,N/A,N/A,2001-06-07,99
101,1995,115000000,274703340,Adventure,Fantasy,Action,Thriller,N/A,2001-06-11,100
102,167,48000000,50315140,Science Fiction,Drama,Mystery,N/A,N/A,2001-10-22,120
103,9428,21000000,71441250,Comedy,Drama,N/A,N/A,N/A,2001-10-05,110
104,11299,0,0,Action,Animation,Science Fiction,N/A,N/A,2001-09-01,115
105,9397,80000000,98376292,Comedy,Science Fiction,Action,N/A,N/A,2001-06-08,101
106,1364,0,7640680,Drama,Romance,N/A,N/A,N/A,2001-08-24,128
107,6312,29000000,70752904,Adventure,Horror,Action,History,N/A,2001-01-31,143
108,644,100000000,235926552,Drama,Science Fiction,Adventure,N/A,N/A,2001-06-29,146
109,32022,0,0,Crime,Animation,Action,Mystery,Drama,2001-04-21,100
110,11470,11000000,16951798,Horror,Science Fiction,N/A,N/A,N/A,2001-11-09,91
111,9398,28000000,60780981,Comedy,N/A,N/A,N/A,N/A,2001-09-28,90
112,10808,70000000,176104344,Comedy,Family,Romance,Fantasy,N/A,2001-06-22,87
113,10992,60000000,93375151,Family,Comedy,N/A,N/A,N/A,2001-07-04,87
114,1903,68000000,203388341,Mystery,Science Fiction,Romance,Fantasy,Thriller,2001-12-10,136
115,8007,40000000,91753202,Action,Drama,Thriller,War,N/A,2001-11-30,106
116,10950,22000000,92542418,Drama,N/A,N/A,N/A,N/A,2001-12-28,132
117,2100,72000000,27642707,Action,Drama,Thriller,N/A,N/A,2001-10-19,131
118,12610,75000000,13596911,Adventure,Animation,Action,Comedy,Family,2001-08-10,95
119,10796,49000000,72689126,Action,Science Fiction,Thriller,N/A,N/A,2001-11-02,87
