,Total Movie Count
Nimród Antal,2
Stephen Hopkins,2
Michael Chaves,2
Sergei Bodrov,2
Juan José Campanella,2
Chris Weitz,2
Pete Travis,2
M. J. Bassett,2
Ash Brannon,2
Joel Crawford,2
José Padilha,2
Stuart Hazeldine,2
Rob Reiner,2
Don Hall,2
Jeff Fowler,2
Jon Hurwitz,2
Nicolas Winding Refn,2
Christian Alvart,2
Justin Chadwick,2
Kathryn Bigelow,2
David Frankel,2
Matt Bettinelli-Olpin,2
Spike Jonze,2
John Hyams,2
Tony Leondis,2
Eric Brevig,2
Olivia Wilde,2
Paul Weitz,2
Simon Kinberg,2
Martin McDonagh,2
Burr Steers,2
Gina Prince-Bythewood,2
Aneesh Chaganty,2
Rajkumar Hirani,2
Chris Williams,2
Kevin Greutert,2
Niels Arden Oplev,2
Peter Chelsom,2
Ric Roman Waugh,2
Daniel Alfredson,2
Michael Patrick King,2
Julia Ducournau,2
Isaac Florentine,2
Miguel Arteta,2
Kim Yong-hwa,2
Paul King,2
Paco Cabezas,2
Harold Cronk,2
Theodore Melfi,2
Camille Delamarre,2
Nick Powell,2
Trish Sie,2
Andrea Di Stefano,2
John Erick Dowdle,2
David Robert Mitchell,2
Josh Boone,2
John R. Leonetti,2
Morten Tyldum,2
Dean DeBlois,2
Jean-Marc Vallée,2
James Ponsoldt,2
John Carney,2
Harmony Korine,2
Gavin Hood,2
Greta Gerwig,2
William Eubank,2
James Foley,2
Tomm Moore,2
John Francis Daley,2
William Brent Bell,2
Josh Gordon,2
Travis Knight,2
Babak Najafi,2
Justin Lin,2
Yeon Sang-ho,2
Tim Miller,2
Patricia Riggen,2
Cary Joji Fukunaga,2
Matteo Garrone,2
Scott Mann,2
Ari Sandel,2
Tom McCarthy,2
Michael Dougherty,2
Ilya Naishuller,2
Roar Uthaug,2
Alex Garland,2
Daniel Scheinert,2
Hans Petter Moland,2
Elizabeth Banks,2
Dean Israelite,2
Michael Dowse,2
Seth Rogen,2
David Soren,2
Steven Knight,2
J.C. Chandor,2
Brad Furman,2
George Clooney,2
George Nolfi,2
Aaron Sorkin,2
Elliott Lester,2
Glenn Ficarra,2
André Øvredal,2
Rodrigo Cortés,2
Derek Cianfrance,2
John Luessenhop,2
John Krasinski,2
Ari Aster,2
Greg Berlanti,2
Dimitri Logothetis,2
Thor Freudenthal,2
Pierre Coffin,2
Jon Erwin,2
Lee Unkrich,2
Ol Parker,2
Tom Ford,2
Tomas Alfredson,2
Tyler Perry,2
Thomas Bezucha,2
Thomas Vinterberg,2
Chris McKay,2
Taylor Sheridan,2
Dan Scanlon,2
Oren Peli,2
Chris Buck,2
Cal Brunker,2
Niki Caro,2
Michael Sucsy,2
Ariel Vromen,2
Robert Lorenz,2
Alexander Payne,2
Akiva Schaffer,2
Enrique Gato,2
Gareth Evans,2
Scott Speer,2
Drew Goddard,2
Rupert Sanders,2
Steve Martino,2
Rich Moore,2
Joe Cornish,2
Jonathan Levine,2
Mark Dindal,2
Bill Paxton,2
Jessie Nelson,2
Bibo Bergeron,2
Charles Stone III,2
Denzel Washington,2
Steve Beck,2
David Lynch,2
Frederik Du Chau,2
Nick Park,2
Peter Hewitt,2
Roger Kumble,2
Terry Gilliam,2
Jim Sheridan,2
Sharon Maguire,2
David Cronenberg,2
Rob Bowman,2
Dean Parisot,2
Wayne Wang,2
John Lasseter,2
Tom Tykwer,2
Jared Hess,2
Jean-Pierre Jeunet,2
Gabriele Muccino,2
Karey Kirkpatrick,2
Ivan Reitman,2
Simon Wells,2
Jill Culton,2
Elizabeth Allen Rosenbaum,2
Steve Pink,2
David Zucker,2
Kirk Jones,2
Mike Newell,2
Philip Kaufman,2
Michel Gondry,2
Gary Fleder,2
Gregory Hoblit,2
Howard Deutch,2
Michael Haneke,2
Stephen Daldry,2
Andrew Davis,2
David S. Goyer,2
Bille Woodruff,2
Roger Spottiswoode,2
Brad Silberling,2
Taylor Hackford,2
Danny Leiner,2
Mimi Leder,2
Kevin Lima,2
Dennis Gansel,2
Harold Ramis,2
Brad Anderson,2
Oliver Hirschbiegel,2
Wong Kar-wai,2
Peter Weir,2
Mark Steven Johnson,2
Ben Younger,2
P.J. Hogan,2
Jay Russell,2
Prachya Pinkaew,2
Neil LaBute,2
Breck Eisner,2
Craig Brewer,2
George Lucas,2
Peter Howitt,2
Dennie Gordon,2
Chris Miller,2
Stephen J. Anderson,2
Todd Field,2
Florian Henckel von Donnersmarck,2
John A. Davis,2
Gábor Csupó,2
Gil Junger,2
John Stockwell,2
Michael Lembeck,2
Corey Yuen,2
Rod Lurie,2
Jesse Dylan,2
Thomas Carter,2
Roman Polanski,2
Larry Charles,2
Greg Mottola,2
Fernando Meirelles,2
Colin Strause,2
David Twohy,2
Goro Miyazaki,2
John Dahl,2
Indar Dzhendubaev,1
Cédric Jimenez,1
John Frankenheimer,1
Hany Abu-Assad,1
Antonio Negret,1
Joe Miale,1
Zach Braff,1
Gregory Jacobs,1
Lucia Aniello,1
Dax Shepard,1
Stephen S. Campanelli,1
Paul Fisher,1
Coralie Fargeat,1
Brian De Palma,1
Stacy Title,1
Jeremy Garelick,1
David Raynr,1
Sarik Andreasyan,1
David Bruckner,1
Nikolaj Arcel,1
Sergio G. Sánchez,1
James Gray,1
Daniel Lee Yan-Kong,1
F. Javier Gutiérrez,1
