,# 1st Billing,# 2nd Billing,# 3rd Billing,# 4th Billing,# 5th Billing,Total Movie Count
Oksana Akinshina,1.0,1.0,0.0,0.0,0.0,2.0
Sarah Polley,1.0,1.0,0.0,0.0,0.0,2.0
Sophie Turner,1.0,1.0,0.0,0.0,0.0,2.0
Sprague Grayden,1.0,1.0,0.0,0.0,0.0,2.0
Stefanie Scott,1.0,1.0,0.0,0.0,0.0,2.0
Sullivan Stapleton,1.0,1.0,0.0,0.0,0.0,2.0
Taylor Schilling,1.0,1.0,0.0,0.0,0.0,2.0
Amy Poehler,1.0,0.0,1.0,0.0,0.0,2.0
Brooklynn Prince,1.0,0.0,1.0,0.0,0.0,2.0
Cailee Spaeny,1.0,0.0,1.0,0.0,0.0,2.0
Carrie Coon,1.0,0.0,1.0,0.0,0.0,2.0
Charlie Tahan,1.0,0.0,1.0,0.0,0.0,2.0
Choi Min-sik,1.0,0.0,1.0,0.0,0.0,2.0
Chris Brown,1.0,0.0,1.0,0.0,0.0,2.0
Claire Danes,1.0,0.0,1.0,0.0,0.0,2.0
Cole Hauser,1.0,0.0,1.0,0.0,0.0,2.0
Colin Woodell,1.0,0.0,1.0,0.0,0.0,2.0
Dakota Blue Richards,1.0,0.0,1.0,0.0,0.0,2.0
Eleanor Tomlinson,1.0,0.0,1.0,0.0,0.0,2.0
Fionn Whitehead,1.0,0.0,1.0,0.0,0.0,2.0
Garance Marillier,1.0,0.0,1.0,0.0,0.0,2.0
Jonathan Majors,1.0,0.0,1.0,0.0,0.0,2.0
Justin Chatwin,1.0,0.0,1.0,0.0,0.0,2.0
Ken Bevel,1.0,0.0,1.0,0.0,0.0,2.0
Lucy Hale,1.0,0.0,1.0,0.0,0.0,2.0
Maggie Cheung,1.0,0.0,1.0,0.0,0.0,2.0
Matthew Davis,1.0,0.0,1.0,0.0,0.0,2.0
Max Records,1.0,0.0,1.0,0.0,0.0,2.0
Method Man,1.0,0.0,1.0,0.0,0.0,2.0
Mirai Shida,1.0,0.0,1.0,0.0,0.0,2.0
Noémie Merlant,1.0,0.0,1.0,0.0,0.0,2.0
Olivia DeJonge,1.0,0.0,1.0,0.0,0.0,2.0
Sean Hayes,1.0,0.0,1.0,0.0,0.0,2.0
Sean Pertwee,1.0,0.0,1.0,0.0,0.0,2.0
Storm Reid,1.0,0.0,1.0,0.0,0.0,2.0
Taissa Farmiga,1.0,0.0,1.0,0.0,0.0,2.0
Ty Burrell,1.0,0.0,1.0,0.0,0.0,2.0
Tyler Perry,1.0,0.0,1.0,0.0,0.0,2.0
Ashley Benson,1.0,0.0,0.0,1.0,0.0,2.0
Ashley Tisdale,1.0,0.0,0.0,1.0,0.0,2.0
Beanie Feldstein,1.0,0.0,0.0,1.0,0.0,2.0
Bob Odenkirk,1.0,0.0,0.0,1.0,0.0,2.0
DJ Qualls,1.0,0.0,0.0,1.0,0.0,2.0
Dan Aykroyd,1.0,0.0,0.0,1.0,0.0,2.0
Douglas Smith,1.0,0.0,0.0,1.0,0.0,2.0
Elizabeth Daily,1.0,0.0,0.0,1.0,0.0,2.0
François Civil,1.0,0.0,0.0,1.0,0.0,2.0
François Cluzet,1.0,0.0,0.0,1.0,0.0,2.0
Jason Mewes,1.0,0.0,0.0,1.0,0.0,2.0
Jodie Whittaker,1.0,0.0,0.0,1.0,0.0,2.0
Jonny Weston,1.0,0.0,0.0,1.0,0.0,2.0
Jovan Adepo,1.0,0.0,0.0,1.0,0.0,2.0
Julia Dietze,1.0,0.0,0.0,1.0,0.0,2.0
Kane Hodder,1.0,0.0,0.0,1.0,0.0,2.0
Kathryn Morris,1.0,0.0,0.0,1.0,0.0,2.0
Kyle Catlett,1.0,0.0,0.0,1.0,0.0,2.0
Lucas Till,1.0,0.0,0.0,1.0,0.0,2.0
Melissa Barrera,1.0,0.0,0.0,1.0,0.0,2.0
Michael Jai White,1.0,0.0,0.0,1.0,0.0,2.0
Ray Wise,1.0,0.0,0.0,1.0,0.0,2.0
Shelley Hennig,1.0,0.0,0.0,1.0,0.0,2.0
Stephan James,1.0,0.0,0.0,1.0,0.0,2.0
Suki Waterhouse,1.0,0.0,0.0,1.0,0.0,2.0
Suraj Sharma,1.0,0.0,0.0,1.0,0.0,2.0
Anthony Ramos,1.0,0.0,0.0,0.0,1.0,2.0
Anton Yelchin,1.0,0.0,0.0,0.0,1.0,2.0
Art Parkinson,1.0,0.0,0.0,0.0,1.0,2.0
Ashley Grace,1.0,0.0,0.0,0.0,1.0,2.0
Brian O'Halloran,1.0,0.0,0.0,0.0,1.0,2.0
Chris O'Donnell,1.0,0.0,0.0,0.0,1.0,2.0
Ellar Coltrane,1.0,0.0,0.0,0.0,1.0,2.0
Eric Balfour,1.0,0.0,0.0,0.0,1.0,2.0
Ferdia Walsh-Peelo,1.0,0.0,0.0,0.0,1.0,2.0
Himesh Patel,1.0,0.0,0.0,0.0,1.0,2.0
Honor Kneafsey,1.0,0.0,0.0,0.0,1.0,2.0
Jared Padalecki,1.0,0.0,0.0,0.0,1.0,2.0
Jason Ian Drucker,1.0,0.0,0.0,0.0,1.0,2.0
Jeremy Ray Taylor,1.0,0.0,0.0,0.0,1.0,2.0
Jesse McCartney,1.0,0.0,0.0,0.0,1.0,2.0
Joel David Moore,1.0,0.0,0.0,0.0,1.0,2.0
Jordana Brewster,1.0,0.0,0.0,0.0,1.0,2.0
Josh Holloway,1.0,0.0,0.0,0.0,1.0,2.0
Lauren German,1.0,0.0,0.0,0.0,1.0,2.0
LeBron James,1.0,0.0,0.0,0.0,1.0,2.0
Levi Miller,1.0,0.0,0.0,0.0,1.0,2.0
Luke Treadaway,1.0,0.0,0.0,0.0,1.0,2.0
Rumi Hiiragi,1.0,0.0,0.0,0.0,1.0,2.0
Samara Weaving,1.0,0.0,0.0,0.0,1.0,2.0
Shun Oguri,1.0,0.0,0.0,0.0,1.0,2.0
Stephanie Beatriz,1.0,0.0,0.0,0.0,1.0,2.0
Steven Seagal,1.0,0.0,0.0,0.0,1.0,2.0
Stuart Townsend,1.0,0.0,0.0,0.0,1.0,2.0
Thomas Mann,1.0,0.0,0.0,0.0,1.0,2.0
Tom Arnold,1.0,0.0,0.0,0.0,1.0,2.0
Virginie Efira,1.0,0.0,0.0,0.0,1.0,2.0
Zach Braff,1.0,0.0,0.0,0.0,1.0,2.0
Aaliyah,0.0,2.0,0.0,0.0,0.0,2.0
Bam Margera,0.0,2.0,0.0,0.0,0.0,2.0
Bill Moseley,0.0,2.0,0.0,0.0,0.0,2.0
Corey Hawkins,0.0,2.0,0.0,0.0,0.0,2.0
Derek Luke,0.0,2.0,0.0,0.0,0.0,2.0
Eddie Griffin,0.0,2.0,0.0,0.0,0.0,2.0
Ellen DeGeneres,0.0,2.0,0.0,0.0,0.0,2.0
Frédéric Diefenthal,0.0,2.0,0.0,0.0,0.0,2.0
Gillian Anderson,0.0,2.0,0.0,0.0,0.0,2.0
Hero Fiennes Tiffin,0.0,2.0,0.0,0.0,0.0,2.0
Holly Hunter,0.0,2.0,0.0,0.0,0.0,2.0
Hugh Dancy,0.0,2.0,0.0,0.0,0.0,2.0
Julianna Margulies,0.0,2.0,0.0,0.0,0.0,2.0
Kim Cattrall,0.0,2.0,0.0,0.0,0.0,2.0
Kim Tae-ri,0.0,2.0,0.0,0.0,0.0,2.0
Marsha Thomason,0.0,2.0,0.0,0.0,0.0,2.0
Mekhi Phifer,0.0,2.0,0.0,0.0,0.0,2.0
Michelle Jenner,0.0,2.0,0.0,0.0,0.0,2.0
Mélanie Laurent,0.0,2.0,0.0,0.0,0.0,2.0
Natalie Mendoza,0.0,2.0,0.0,0.0,0.0,2.0
Petchtai Wongkamlao,0.0,2.0,0.0,0.0,0.0,2.0
Rana Daggubati,0.0,2.0,0.0,0.0,0.0,2.0
Rob Brown,0.0,2.0,0.0,0.0,0.0,2.0
Roberto Benigni,0.0,2.0,0.0,0.0,0.0,2.0
Sally Field,0.0,2.0,0.0,0.0,0.0,2.0
Simon Rex,0.0,2.0,0.0,0.0,0.0,2.0
Sophia Myles,0.0,2.0,0.0,0.0,0.0,2.0
Tang Wei,0.0,2.0,0.0,0.0,0.0,2.0
Thomas Bo Larsen,0.0,2.0,0.0,0.0,0.0,2.0
Yvonne Strahovski,0.0,2.0,0.0,0.0,0.0,2.0
Zoe Kazan,0.0,2.0,0.0,0.0,0.0,2.0
Albert Dupontel,0.0,1.0,1.0,0.0,0.0,2.0
Astrid Bergès-Frisbey,0.0,1.0,1.0,0.0,0.0,2.0
Ben Chaplin,0.0,1.0,1.0,0.0,0.0,2.0
Camilla Belle,0.0,1.0,1.0,0.0,0.0,2.0
Charlie Cox,0.0,1.0,1.0,0.0,0.0,2.0
Christine Taylor,0.0,1.0,1.0,0.0,0.0,2.0
Dakota Goyo,0.0,1.0,1.0,0.0,0.0,2.0
Dean Norris,0.0,1.0,1.0,0.0,0.0,2.0
Desmond Harrington,0.0,1.0,1.0,0.0,0.0,2.0
Diora Baird,0.0,1.0,1.0,0.0,0.0,2.0
Ed Oxenbould,0.0,1.0,1.0,0.0,0.0,2.0
Eiza González,0.0,1.0,1.0,0.0,0.0,2.0
Emmanuelle Chriqui,0.0,1.0,1.0,0.0,0.0,2.0
Essence Atkins,0.0,1.0,1.0,0.0,0.0,2.0
F. Murray Abraham,0.0,1.0,1.0,0.0,0.0,2.0
Gabriella Wilde,0.0,1.0,1.0,0.0,0.0,2.0
Guillaume Canet,0.0,1.0,1.0,0.0,0.0,2.0
Ian Holm,0.0,1.0,1.0,0.0,0.0,2.0
January Jones,0.0,1.0,1.0,0.0,0.0,2.0
Jason Mitchell,0.0,1.0,1.0,0.0,0.0,2.0
Jay Chou,0.0,1.0,1.0,0.0,0.0,2.0
Jeff Garlin,0.0,1.0,1.0,0.0,0.0,2.0
Jenna Elfman,0.0,1.0,1.0,0.0,0.0,2.0
Jenna Fischer,0.0,1.0,1.0,0.0,0.0,2.0
Jenna Ortega,0.0,1.0,1.0,0.0,0.0,2.0
Jerry Ferrara,0.0,1.0,1.0,0.0,0.0,2.0
Jesse Bradford,0.0,1.0,1.0,0.0,0.0,2.0
Jessica McNamee,0.0,1.0,1.0,0.0,0.0,2.0
JoJo,0.0,1.0,1.0,0.0,0.0,2.0
John Oliver,0.0,1.0,1.0,0.0,0.0,2.0
Josh Brener,0.0,1.0,1.0,0.0,0.0,2.0
Ju Ji-hoon,0.0,1.0,1.0,0.0,0.0,2.0
Ken Davitian,0.0,1.0,1.0,0.0,0.0,2.0
Laurent Lafitte,0.0,1.0,1.0,0.0,0.0,2.0
Lulu Wilson,0.0,1.0,1.0,0.0,0.0,2.0
Maribel Verdú,0.0,1.0,1.0,0.0,0.0,2.0
Matt Smith,0.0,1.0,1.0,0.0,0.0,2.0
Matthew Macfadyen,0.0,1.0,1.0,0.0,0.0,2.0
Millie Bobby Brown,0.0,1.0,1.0,0.0,0.0,2.0
Nancy Cartwright,0.0,1.0,1.0,0.0,0.0,2.0
Omar Epps,0.0,1.0,1.0,0.0,0.0,2.0
Pat Healy,0.0,1.0,1.0,0.0,0.0,2.0
Rene Russo,0.0,1.0,1.0,0.0,0.0,2.0
Robert Sheehan,0.0,1.0,1.0,0.0,0.0,2.0
Shannyn Sossamon,0.0,1.0,1.0,0.0,0.0,2.0
Simon Baker,0.0,1.0,1.0,0.0,0.0,2.0
Sung Kang,0.0,1.0,1.0,0.0,0.0,2.0
Takeshi Kitano,0.0,1.0,1.0,0.0,0.0,2.0
Talitha Bateman,0.0,1.0,1.0,0.0,0.0,2.0
Adelaide Kane,0.0,1.0,0.0,1.0,0.0,2.0
Alex Wolff,0.0,1.0,0.0,1.0,0.0,2.0
Anders Danielsen Lie,0.0,1.0,0.0,1.0,0.0,2.0
Andy Lau,0.0,1.0,0.0,1.0,0.0,2.0
Anjelica Huston,0.0,1.0,0.0,1.0,0.0,2.0
Aunjanue Ellis-Taylor,0.0,1.0,0.0,1.0,0.0,2.0
Barkhad Abdi,0.0,1.0,0.0,1.0,0.0,2.0
Billy Magnussen,0.0,1.0,0.0,1.0,0.0,2.0
Callie Hernandez,0.0,1.0,0.0,1.0,0.0,2.0
Cheryl Hines,0.0,1.0,0.0,1.0,0.0,2.0
Christopher Kirby,0.0,1.0,0.0,1.0,0.0,2.0
Cynthia Erivo,0.0,1.0,0.0,1.0,0.0,2.0
Damon Wayans Jr.,0.0,1.0,0.0,1.0,0.0,2.0
Devon Aoki,0.0,1.0,0.0,1.0,0.0,2.0
Dianna Agron,0.0,1.0,0.0,1.0,0.0,2.0
Emilio Rivera,0.0,1.0,0.0,1.0,0.0,2.0
Eve Hewson,0.0,1.0,0.0,1.0,0.0,2.0
Fares Fares,0.0,1.0,0.0,1.0,0.0,2.0
Goran Visnjic,0.0,1.0,0.0,1.0,0.0,2.0
Irrfan Khan,0.0,1.0,0.0,1.0,0.0,2.0
Isaac Hempstead-Wright,0.0,1.0,0.0,1.0,0.0,2.0
Jack Whitehall,0.0,1.0,0.0,1.0,0.0,2.0
Jeff Anderson,0.0,1.0,0.0,1.0,0.0,2.0
Jessica Henwick,0.0,1.0,0.0,1.0,0.0,2.0
Jimmy Fallon,0.0,1.0,0.0,1.0,0.0,2.0
Jon Abrahams,0.0,1.0,0.0,1.0,0.0,2.0
Jorma Taccone,0.0,1.0,0.0,1.0,0.0,2.0
Julian Dennison,0.0,1.0,0.0,1.0,0.0,2.0
Katie Cassidy,0.0,1.0,0.0,1.0,0.0,2.0
Kristen Wilson,0.0,1.0,0.0,1.0,0.0,2.0
Lake Bell,0.0,1.0,0.0,1.0,0.0,2.0
Lex Scott Davis,0.0,1.0,0.0,1.0,0.0,2.0
Lil Rel Howery,0.0,1.0,0.0,1.0,0.0,2.0
Madison Iseman,0.0,1.0,0.0,1.0,0.0,2.0
Marisol Nichols,0.0,1.0,0.0,1.0,0.0,2.0
Mason Gooding,0.0,1.0,0.0,1.0,0.0,2.0
Matt Bomer,0.0,1.0,0.0,1.0,0.0,2.0
Michael Parks,0.0,1.0,0.0,1.0,0.0,2.0
Molly Gordon,0.0,1.0,0.0,1.0,0.0,2.0
Peter Firth,0.0,1.0,0.0,1.0,0.0,2.0
Raini Rodriguez,0.0,1.0,0.0,1.0,0.0,2.0
Ramón Rodríguez,0.0,1.0,0.0,1.0,0.0,2.0
Raoul Bova,0.0,1.0,0.0,1.0,0.0,2.0
Raven-Symoné,0.0,1.0,0.0,1.0,0.0,2.0
Redman,0.0,1.0,0.0,1.0,0.0,2.0
Robert Hoffman,0.0,1.0,0.0,1.0,0.0,2.0
Sam Lerner,0.0,1.0,0.0,1.0,0.0,2.0
Saurabh Shukla,0.0,1.0,0.0,1.0,0.0,2.0
Tom Sizemore,0.0,1.0,0.0,1.0,0.0,2.0
Tony Cox,0.0,1.0,0.0,1.0,0.0,2.0
Tyler Mane,0.0,1.0,0.0,1.0,0.0,2.0
Vinnie Jones,0.0,1.0,0.0,1.0,0.0,2.0
Winston Duke,0.0,1.0,0.0,1.0,0.0,2.0
Wyatt Russell,0.0,1.0,0.0,1.0,0.0,2.0
Adam Sevani,0.0,1.0,0.0,0.0,1.0,2.0
Al Madrigal,0.0,1.0,0.0,0.0,1.0,2.0
Andrew Koji,0.0,1.0,0.0,0.0,1.0,2.0
André Holland,0.0,1.0,0.0,0.0,1.0,2.0
Anna Yao,0.0,1.0,0.0,0.0,1.0,2.0
Byun Hee-bong,0.0,1.0,0.0,0.0,1.0,2.0
Colin Hanks,0.0,1.0,0.0,0.0,1.0,2.0
Diego Boneta,0.0,1.0,0.0,0.0,1.0,2.0
Embeth Davidtz,0.0,1.0,0.0,0.0,1.0,2.0
Emilie de Ravin,0.0,1.0,0.0,0.0,1.0,2.0
Fran Kranz,0.0,1.0,0.0,0.0,1.0,2.0
Glen Powell,0.0,1.0,0.0,0.0,1.0,2.0
Greta Gerwig,0.0,1.0,0.0,0.0,1.0,2.0
Holt McCallany,0.0,1.0,0.0,0.0,1.0,2.0
James Coburn,0.0,1.0,0.0,0.0,1.0,2.0
James Faulkner,0.0,1.0,0.0,0.0,1.0,2.0
James Woods,0.0,1.0,0.0,0.0,1.0,2.0
Jeremy Sumpter,0.0,1.0,0.0,0.0,1.0,2.0
Joe Morton,0.0,1.0,0.0,0.0,1.0,2.0
Jérémie Renier,0.0,1.0,0.0,0.0,1.0,2.0
Kareena Kapoor Khan,0.0,1.0,0.0,0.0,1.0,2.0
Keir O'Donnell,0.0,1.0,0.0,0.0,1.0,2.0
Kevin Smith,0.0,1.0,0.0,0.0,1.0,2.0
Kristin Scott Thomas,0.0,1.0,0.0,0.0,1.0,2.0
Larenz Tate,0.0,1.0,0.0,0.0,1.0,2.0
Laura Harring,0.0,1.0,0.0,0.0,1.0,2.0
Leslie Odom Jr.,0.0,1.0,0.0,0.0,1.0,2.0
Lewis Pullman,0.0,1.0,0.0,0.0,1.0,2.0
Li Bingbing,0.0,1.0,0.0,0.0,1.0,2.0
Lucy Boynton,0.0,1.0,0.0,0.0,1.0,2.0
Ludivine Sagnier,0.0,1.0,0.0,0.0,1.0,2.0
Lynn Collins,0.0,1.0,0.0,0.0,1.0,2.0
Marin Ireland,0.0,1.0,0.0,0.0,1.0,2.0
Matthew Fox,0.0,1.0,0.0,0.0,1.0,2.0
Micah Sloat,0.0,1.0,0.0,0.0,1.0,2.0
Michael Rapaport,0.0,1.0,0.0,0.0,1.0,2.0
Mika Boorem,0.0,1.0,0.0,0.0,1.0,2.0
Oprah Winfrey,0.0,1.0,0.0,0.0,1.0,2.0
RJ Cyler,0.0,1.0,0.0,0.0,1.0,2.0
Rachael Taylor,0.0,1.0,0.0,0.0,1.0,2.0
Richard E. Grant,0.0,1.0,0.0,0.0,1.0,2.0
Ricky Gervais,0.0,1.0,0.0,0.0,1.0,2.0
Rupert Evans,0.0,1.0,0.0,0.0,1.0,2.0
Ryunosuke Kamiki,0.0,1.0,0.0,0.0,1.0,2.0
Sofía Vergara,0.0,1.0,0.0,0.0,1.0,2.0
Stephen Merchant,0.0,1.0,0.0,0.0,1.0,2.0
Tara Reid,0.0,1.0,0.0,0.0,1.0,2.0
Xzibit,0.0,1.0,0.0,0.0,1.0,2.0
Óscar Jaenada,0.0,1.0,0.0,0.0,1.0,2.0
Adria Arjona,0.0,0.0,2.0,0.0,0.0,2.0
Benoît Magimel,0.0,0.0,2.0,0.0,0.0,2.0
Billy Boyd,0.0,0.0,2.0,0.0,0.0,2.0
Brett Kelly,0.0,0.0,2.0,0.0,0.0,2.0
Brooke Shields,0.0,0.0,2.0,0.0,0.0,2.0
Bryan Greenberg,0.0,0.0,2.0,0.0,0.0,2.0
Chevy Chase,0.0,0.0,2.0,0.0,0.0,2.0
Daniel Zovatto,0.0,0.0,2.0,0.0,0.0,2.0
David Denman,0.0,0.0,2.0,0.0,0.0,2.0
Eric Dane,0.0,0.0,2.0,0.0,0.0,2.0
Eric Johnson,0.0,0.0,2.0,0.0,0.0,2.0
Fengyi Zhang,0.0,0.0,2.0,0.0,0.0,2.0
François Berléand,0.0,0.0,2.0,0.0,0.0,2.0
Izaac Wang,0.0,0.0,2.0,0.0,0.0,2.0
Jaime King,0.0,0.0,2.0,0.0,0.0,2.0
John Lone,0.0,0.0,2.0,0.0,0.0,2.0
Kaley Cuoco,0.0,0.0,2.0,0.0,0.0,2.0
Katrina Bowden,0.0,0.0,2.0,0.0,0.0,2.0
Leelee Sobieski,0.0,0.0,2.0,0.0,0.0,2.0
Lili Taylor,0.0,0.0,2.0,0.0,0.0,2.0
Lindsay Duncan,0.0,0.0,2.0,0.0,0.0,2.0
Lynn Hung,0.0,0.0,2.0,0.0,0.0,2.0
Mary McCormack,0.0,0.0,2.0,0.0,0.0,2.0
Millicent Simmonds,0.0,0.0,2.0,0.0,0.0,2.0
Mykelti Williamson,0.0,0.0,2.0,0.0,0.0,2.0
Natasha Richardson,0.0,0.0,2.0,0.0,0.0,2.0
Nina Dobrev,0.0,0.0,2.0,0.0,0.0,2.0
Rachel Hurd-Wood,0.0,0.0,2.0,0.0,0.0,2.0
Riz Ahmed,0.0,0.0,2.0,0.0,0.0,2.0
Rodger Bumpass,0.0,0.0,2.0,0.0,0.0,2.0
Ruby Modine,0.0,0.0,2.0,0.0,0.0,2.0
Sarah Vowell,0.0,0.0,2.0,0.0,0.0,2.0
Scott Patterson,0.0,0.0,2.0,0.0,0.0,2.0
Toby Stephens,0.0,0.0,2.0,0.0,0.0,2.0
Tom Taylor,0.0,0.0,2.0,0.0,0.0,2.0
Tsuyoshi Ihara,0.0,0.0,2.0,0.0,0.0,2.0
William Moseley,0.0,0.0,2.0,0.0,0.0,2.0
Alice Krige,0.0,0.0,1.0,1.0,0.0,2.0
Alicia Keys,0.0,0.0,1.0,1.0,0.0,2.0
Alicia Witt,0.0,0.0,1.0,1.0,0.0,2.0
Andrei Arlovski,0.0,0.0,1.0,1.0,0.0,2.0
André 3000,0.0,0.0,1.0,1.0,0.0,2.0
Ashley Scott,0.0,0.0,1.0,1.0,0.0,2.0
Bae Doona,0.0,0.0,1.0,1.0,0.0,2.0
Ben Miller,0.0,0.0,1.0,1.0,0.0,2.0
Bette Midler,0.0,0.0,1.0,1.0,0.0,2.0
Brady Corbet,0.0,0.0,1.0,1.0,0.0,2.0
Brian Dennehy,0.0,0.0,1.0,1.0,0.0,2.0
Callum Keith Rennie,0.0,0.0,1.0,1.0,0.0,2.0
Chandler Canterbury,0.0,0.0,1.0,1.0,0.0,2.0
Charlie Heaton,0.0,0.0,1.0,1.0,0.0,2.0
Clark Duke,0.0,0.0,1.0,1.0,0.0,2.0
Craig Bierko,0.0,0.0,1.0,1.0,0.0,2.0
David Hyde Pierce,0.0,0.0,1.0,1.0,0.0,2.0
Frank Welker,0.0,0.0,1.0,1.0,0.0,2.0
Freida Pinto,0.0,0.0,1.0,1.0,0.0,2.0
Gaby Hoffmann,0.0,0.0,1.0,1.0,0.0,2.0
Gaia Weiss,0.0,0.0,1.0,1.0,0.0,2.0
Gil Birmingham,0.0,0.0,1.0,1.0,0.0,2.0
Izabela Vidovic,0.0,0.0,1.0,1.0,0.0,2.0
James Garner,0.0,0.0,1.0,1.0,0.0,2.0
James Hong,0.0,0.0,1.0,1.0,0.0,2.0
Jaz Sinclair,0.0,0.0,1.0,1.0,0.0,2.0
Jeffrey Donovan,0.0,0.0,1.0,1.0,0.0,2.0
Jillian Bell,0.0,0.0,1.0,1.0,0.0,2.0
John Benjamin Hickey,0.0,0.0,1.0,1.0,0.0,2.0
John Bradley,0.0,0.0,1.0,1.0,0.0,2.0
John C. McGinley,0.0,0.0,1.0,1.0,0.0,2.0
John Corbett,0.0,0.0,1.0,1.0,0.0,2.0
Johnny Simmons,0.0,0.0,1.0,1.0,0.0,2.0
Julia Louis-Dreyfus,0.0,0.0,1.0,1.0,0.0,2.0
Julianne Nicholson,0.0,0.0,1.0,1.0,0.0,2.0
Kate Beahan,0.0,0.0,1.0,1.0,0.0,2.0
Kate del Castillo,0.0,0.0,1.0,1.0,0.0,2.0
Keiko Takeshita,0.0,0.0,1.0,1.0,0.0,2.0
Kelly Hu,0.0,0.0,1.0,1.0,0.0,2.0
Ken Sansom,0.0,0.0,1.0,1.0,0.0,2.0
Kim Hyang-gi,0.0,0.0,1.0,1.0,0.0,2.0
Lauren Ambrose,0.0,0.0,1.0,1.0,0.0,2.0
Leslie Nielsen,0.0,0.0,1.0,1.0,0.0,2.0
Liana Liberato,0.0,0.0,1.0,1.0,0.0,2.0
Louise Lombard,0.0,0.0,1.0,1.0,0.0,2.0
Mark O'Brien,0.0,0.0,1.0,1.0,0.0,2.0
Marla Sokoloff,0.0,0.0,1.0,1.0,0.0,2.0
Nathan Phillips,0.0,0.0,1.0,1.0,0.0,2.0
Nicola Peltz Beckham,0.0,0.0,1.0,1.0,0.0,2.0
Nicole Beharie,0.0,0.0,1.0,1.0,0.0,2.0
Pablo Rago,0.0,0.0,1.0,1.0,0.0,2.0
Paul Newman,0.0,0.0,1.0,1.0,0.0,2.0
Priyanka Chopra Jonas,0.0,0.0,1.0,1.0,0.0,2.0
Rhys Wakefield,0.0,0.0,1.0,1.0,0.0,2.0
Ron Funches,0.0,0.0,1.0,1.0,0.0,2.0
Sam Heughan,0.0,0.0,1.0,1.0,0.0,2.0
Sarah Shahi,0.0,0.0,1.0,1.0,0.0,2.0
Sasha Lane,0.0,0.0,1.0,1.0,0.0,2.0
Sharman Joshi,0.0,0.0,1.0,1.0,0.0,2.0
Timothy Hutton,0.0,0.0,1.0,1.0,0.0,2.0
Tom Hopper,0.0,0.0,1.0,1.0,0.0,2.0
Adrian Lester,0.0,0.0,1.0,0.0,1.0,2.0
Alexander Ludwig,0.0,0.0,1.0,0.0,1.0,2.0
Angela Bassett,0.0,0.0,1.0,0.0,1.0,2.0
Angus Sampson,0.0,0.0,1.0,0.0,1.0,2.0
Annette Bening,0.0,0.0,1.0,0.0,1.0,2.0
Ari Graynor,0.0,0.0,1.0,0.0,1.0,2.0
Ayelet Zurer,0.0,0.0,1.0,0.0,1.0,2.0
Bernard Farcy,0.0,0.0,1.0,0.0,1.0,2.0
Beth Grant,0.0,0.0,1.0,0.0,1.0,2.0
Betty Buckley,0.0,0.0,1.0,0.0,1.0,2.0
Brenda Blethyn,0.0,0.0,1.0,0.0,1.0,2.0
Brittany Daniel,0.0,0.0,1.0,0.0,1.0,2.0
Bruce Davison,0.0,0.0,1.0,0.0,1.0,2.0
Busta Rhymes,0.0,0.0,1.0,0.0,1.0,2.0
Catherine McCormack,0.0,0.0,1.0,0.0,1.0,2.0
Charles S. Dutton,0.0,0.0,1.0,0.0,1.0,2.0
Chin Han,0.0,0.0,1.0,0.0,1.0,2.0
Chris Diamantopoulos,0.0,0.0,1.0,0.0,1.0,2.0
Dana Gaier,0.0,0.0,1.0,0.0,1.0,2.0
Deanna Dunagan,0.0,0.0,1.0,0.0,1.0,2.0
Dianne Wiest,0.0,0.0,1.0,0.0,1.0,2.0
Ed O'Neill,0.0,0.0,1.0,0.0,1.0,2.0
Edwin Hodge,0.0,0.0,1.0,0.0,1.0,2.0
Emjay Anthony,0.0,0.0,1.0,0.0,1.0,2.0
Erika Christensen,0.0,0.0,1.0,0.0,1.0,2.0
Ethan Suplee,0.0,0.0,1.0,0.0,1.0,2.0
Eva Longoria,0.0,0.0,1.0,0.0,1.0,2.0
Hannah Spearritt,0.0,0.0,1.0,0.0,1.0,2.0
Hector Elizondo,0.0,0.0,1.0,0.0,1.0,2.0
Henry Winkler,0.0,0.0,1.0,0.0,1.0,2.0
Jack Lowden,0.0,0.0,1.0,0.0,1.0,2.0
Jacob Vargas,0.0,0.0,1.0,0.0,1.0,2.0
Jennifer Hudson,0.0,0.0,1.0,0.0,1.0,2.0
Jeremy Northam,0.0,0.0,1.0,0.0,1.0,2.0
Jeroen Krabbé,0.0,0.0,1.0,0.0,1.0,2.0
Julie Bowen,0.0,0.0,1.0,0.0,1.0,2.0
Karen Mok,0.0,0.0,1.0,0.0,1.0,2.0
Kathy Baker,0.0,0.0,1.0,0.0,1.0,2.0
Keith David,0.0,0.0,1.0,0.0,1.0,2.0
Kurt Fuller,0.0,0.0,1.0,0.0,1.0,2.0
Lacey Chabert,0.0,0.0,1.0,0.0,1.0,2.0
Langley Kirkwood,0.0,0.0,1.0,0.0,1.0,2.0
Leighton Meester,0.0,0.0,1.0,0.0,1.0,2.0
Lio Tipton,0.0,0.0,1.0,0.0,1.0,2.0
Lucy Lawless,0.0,0.0,1.0,0.0,1.0,2.0
Ludi Lin,0.0,0.0,1.0,0.0,1.0,2.0
Martin Short,0.0,0.0,1.0,0.0,1.0,2.0
Matthew Modine,0.0,0.0,1.0,0.0,1.0,2.0
Maura Tierney,0.0,0.0,1.0,0.0,1.0,2.0
